raw_name,appg_slug
APP Taiwan,taiwan
"APPG Aviation, Aerospace and Travel (This event was during my time as Chair)",aviation-travel-and-aerospace
APPG Channel Islands,channel-islands
APPG Freedom of Religion or Belief,international-freedom-of-religion-or-belief
APPG GIBRALTAR,gibraltar
APPG Genocide Prevention,genocide-prevention
APPG International Conservation,international-conservation
APPG Italy,italy
APPG Japan,japan
APPG San Marino,san-marino
APPG Saudi Arabia,saudi-arabia
APPG Taiwan,taiwan
APPG Tennis,tennis
APPG Ukraine,ukraine
APPG for Cyprus,cyprus
APPG for Cyrpus,cyprus
APPG for Formula 1 and Motorsport,formula-1-and-motorsport
APPG for Italy,italy
APPG for Japan,japan
APPG for Motorsport,formula-1-and-motorsport
APPG for Nutrition in Development,nutrition-for-development
APPG for Racing,racing-and-bloodstock
APPG for Renewable & Sustainable Energy,renewable-and-sustainable-energy
APPG for Tamils,tamils
APPG for Tibet,tibet
APPG for the Freedom of Religious Belief,international-freedom-of-religion-or-belief
APPG for the Freedom of Religious Belief.,international-freedom-of-religion-or-belief
APPG for the United Arab Emirates,united-arab-emirates
APPG on Christians in the Holy Land,christianity-in-the-holy-land
APPG on Defence Technology,defence-technology
APPG on Global Health,global-health-and-security
APPG on Global SRHR,global-sexual-and-reproductive-health-and-rights
APPG on Migration,migration
APPG on Mutuals,mutuals
APPG on Saudi Arabia,saudi-arabia
APPG on Ukraine,ukraine
All Party Parliamentary Commons and Lords Rugby Union Football Club,rugby-union-football-club
All Party Parliamentary Group on Global Sexual and Reproductive Health,global-sexual-and-reproductive-health-and-rights
All Party Parliamentary Group on San Marino,san-marino
All Party Parliamentary Group on Ukraine,ukraine
All-Party Parliamentary Beer Group,beer
All-Party Parliamentary Group on Nutrition for Development,nutrition-for-development
All-Party Parliamentary Group on the Kurdistan Region in Iraq,kurdistan-region-in-iraq
Armed Forces APPG,armed-forces
Bloodstock and Horse Racing,racing-and-bloodstock
British-Taiwanese All-Party Parliamentary Group,taiwan
Christianity in the Holy Land,christianity-in-the-holy-land
Cyprus APPG,cyprus
Digital Creators,digital-creators
Explosive Weapons and Their Impact APPG,explosive-weapons-and-their-impact
Explosives Weapons and their Impact,explosive-weapons-and-their-impact
F1 APPG,formula-1-and-motorsport
Food and Drink,food-and-drink
Food and Drink APPG,food-and-drink
Football,football
Formula 1 and Motorsport,formula-1-and-motorsport
Formula 1 and Motorsport APPG,formula-1-and-motorsport
Formula One,formula-1-and-motorsport
Freedom of Religion or Belief,international-freedom-of-religion-or-belief
Gibraltar,gibraltar
Gibraltar APPG,gibraltar
Global Health and Security,global-health-and-security
Global Health and Security APPG; AMR APPG,global-health-and-security
Global Sexual and Reproductive Health,global-sexual-and-reproductive-health-and-rights
Global TB,global-tuberculosis
Humanist Group,humanist
International Conservation,international-conservation
Kosovo & Albania,kosovo-and-albania
Migration,migration
Motorsport,formula-1-and-motorsport
Music,music
Nuclear APPG,nuclear-energy
Nuclear Energy,nuclear-energy
Nuclear Energy APPG,nuclear-energy
Nutrition for Development,nutrition-for-development
PRASEG,renewable-and-sustainable-energy
Parliamentary Renewable & Sustainable Energy Group,renewable-and-sustainable-energy
Parliamentary Renewable & Sustainable Energy Group (PRASEG - Secretariat for the APPG for Renewable & Sustainable Energy),renewable-and-sustainable-energy
San Marino,san-marino
San Marino APPG,san-marino
Saudi Arabia,saudi-arabia
Saudi Arabia APPG,saudi-arabia
Sport and Physical Activity,sport-and-physical-activity
Taiwan APPG,taiwan
Tennis,tennis
Tennis APPG,tennis
Thailand,thailand
Ukraine,ukraine
United Arab Emirates,united-arab-emirates
United Arab Emirates APPG,united-arab-emirates
