name,officer_role,twfy_id,mnis_id,canon_name,appg,is_officer,member_type,source,last_updated,url_source,removed
Sir Andrew Mitchell,Chair & Registered Contact,uk.org.publicwhip/person/11115,1211,Andrew Mitchell,abraham-accords,True,mp,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/abraham-accords.htm,
Lord Mendelsohn,Co-Chair,uk.org.publicwhip/person/25189,4286,Lord Mendelsohn,abraham-accords,True,lord,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/abraham-accords.htm,
Lord Polak,Officer,uk.org.publicwhip/person/25457,4547,Lord Polak,abraham-accords,True,lord,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/abraham-accords.htm,
Charlie Dewhirst,Officer,uk.org.publicwhip/person/26461,5169,Charlie Dewhirst,abraham-accords,True,mp,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/abraham-accords.htm,
Lord Mackinlay of Richborough,Officer,,,,access-to-disability-equipment,True,lord,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-disability-equipment.htm,
Tessa Munt,Officer,uk.org.publicwhip/person/24942,4089,Tessa Munt,access-to-disability-equipment,True,mp,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-disability-equipment.htm,
Josh Newbury,Officer,uk.org.publicwhip/person/26317,5034,Josh Newbury,access-to-disability-equipment,True,mp,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-disability-equipment.htm,
Daniel Francis,Chair & Registered Contact,uk.org.publicwhip/person/26493,5184,Daniel Francis,access-to-disability-equipment,True,mp,parliament,2026-02-23 00:00:00,https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-disability-equipment.htm,
Lord Colin Low,,,,,access-to-justice,False,lord,ai_search,2026-02-04 00:00:00,https://www.appg-access-to-justice.co.uk/our-elected-members,False
Lord Willy Bach,,,,,access-to-justice,True,lord,ai_search,2026-02-04 00:00:00,https://www.appg-access-to-justice.co.uk/our-elected-members,False
