slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
abraham-accords,All-Party Parliamentary Group on the Abraham Accords,The APPG will champion the historic peace agreements known as the Abraham Accords.,"International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/abraham-accords.htm,UK Abraham Accords Group  acts as the group's secretariat.https://www.abraham-accords.uk,None,Sir Andrew Mitchell MP,2025-03-24 00:00:00
access-to-disability-equipment,All-Party Parliamentary Group for Access to Disability Equipment,"To provide a forum for parliamentarians to engage with individuals living with disabilities, patient advocates, charities and equipment providers. To promote understanding of the importance and impact that the provision of specialist equipment can have on the individual and society, and encourage dialogue on the barriers preventing timely access.","Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-disability-equipment.htm,Tendo Consulting acts as the group's secretariat.https://tendoconsulting.co.uk/,None,Daniel Francis MP,2025-05-14 00:00:00
access-to-justice,All-Party Parliamentary Group on Access to Justice,"To highlight the importance of access to justice as a fundamental principle of the rule of law and empower individuals to exercise their rights, challenge discrimination, and reduce inequalities.","Justice, Law & Security|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-justice.htm,Legal Aid Practitioners Group acts as the group's secretariat.https://lapg.co.uk/,https://www.appg-access-to-justice.co.uk/,Sarah Russell MP,2025-11-25 00:00:00
access-to-medicines-and-medical-devices,All-Party Parliamentary Group on Access to Medicines and Medical Devices,"To examine and develop the appraisal, funding, adoption, provision, and equality of access to medicines and medical devices in the NHS in England.","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/access-to-medicines-and-medical-devices.htm,RPP Group acts as the group's secretariat.https://rpp-group.com/,None,Danny Beales MP,2025-05-20 00:00:00
acquired-brain-injury,All-Party Parliamentary Group for Acquired Brain Injury,"To raise awareness of Acquired Brain Injury (ABI) and seek improvements in support and services for people with ABI and their carers; to provide a voice for people with ABI in parliament; and to raise issues across health, social care and welfare which affect people living with ABI.","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/acquired-brain-injury.htm,UK Acquired Brain Injury Forum acts as the group's secretariat.http://ukabif.org.uk/,https://ukabif.org.uk/page/CampaignAPPG,Sir John Hayes MP,2025-03-05 00:00:00
adoption-and-permanence,All-Party Parliamentary Group on Adoption and Permanence,To amplify the voices and experiences of adoptees and those in other forms of permanence and their families and use that to inform parliamentarians on issues around adoption and permanence and promote the development and implementation of effective policy and practice. To provide an opportunity for the ambitious exploration of innovative solutions to enable adoptees and those in other forms of permanence and their families to thrive.,"Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/adoption-and-permanence.htm,Home for Good and Adoption UK jointly act as the group's secretariat.https://www.homeforgood.org.uk/andhttps://www.adoptionuk.org/,https://appgap.info/,Rachael Maskell MP,2025-03-04 00:00:00
adult-social-care,Adult Social Care All-Party Parliamentary Group,"To be part of the solution for finding a sustainable social care model; build a positive cross-party vision for the future for social care; unlock Parliament to the social care sector, and open the doors of social care to local MPs; be led by lived experience and championed by parliamentarians.","Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/adult-social-care.htm,Healthcomms Consulting Ltd acts as the group's secretariat.https://www.healthcommsconsulting.co.uk/,https://adultsocialcareappg.com/,Sojan Joseph MP,2026-01-20 00:00:00
advertising,All-Party Parliamentary Group on Advertising,The APPG is an opportunity to bring industry leaders and MPs and Peers together to celebrate the success of advertising across our nations and regions.,"Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/advertising.htm,Advertising Association acts as the group's secretariat.https://adassoc.org.uk,https://adassoc.org.uk/uk-advertising-appg/,Dame Karen Bradley MP,2025-01-22 00:00:00
afghan-women-and-girls,All-Party Parliamentary Group on Afghan Women and Girls,To promote the interests and voices of Afghan women and girls within Parliament and to Government.,"Human Rights, Equality & Social Justice|International Affairs, Development & Trade",https://publications.parliament.uk/pa/cm/cmallparty/260223/afghan-women-and-girls.htm,,None,Wendy Chamberlain MP,2024-12-17 00:00:00
africa,All-Party Parliamentary Group for Africa,"Fostering mutually beneficial partnerships between African nations and the UK, actively challenging negative stereotypes about Africa, and amplifying the voices of African diasporas within the UK.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/africa.htm,Rita Davids acts as the group's secretariat.,https://royalafricansociety.org/whatwedo/policy/appga,Dame Chi Onwurah MP,2025-12-17 00:00:00
